0352-0189	0337-0171	0286-0282	0191-0179	0333-0052	0238-0025	0092-0194	0108-0187	0150-0210	0385-0257	0467-0211	0424-0101	0394-0028	0303-0091	0236-0141	0241-0121	0265-0080	0249-0282	0215-0224	0150-0114	0113-0055	0056-0089	0480-0313	0428-0179	0362-0184	0040-0395	0483-0444	0473-0431	0453-0320	0500-0178	0457-0132	0359-0116	0309-0174	0242-0205	0207-0185	0139-0068	0257-0011	0216-0085	0171-0179	0389-0271	0359-0343	Average	Err
8	5	11	5	0	0	4	0	0	0	0	0	2	13	0	0	11	0	16	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	16	0	6	0	0	0	16	16	16
10	6	10	9	0	0	2	0	0	0	0	0	9	13	0	0	13	0	15	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	14	0	12	0	0	0	15	15	15
3	0	6	12	0	0	7	0	0	0	0	0	12	9	0	0	15	0	16	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	15	0	7	0	0	0	16	16	16
8	7	9	5	0	0	3	0	0	0	0	0	15	8	0	0	14	0	15	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	15	0	13	0	0	0	15	15	15
6	3	10	5	0	0	9	0	0	0	0	0	9	1	0	0	13	0	15	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	15	0	12	0	0	0	15	15	15
7	4	7	2	0	0	4	0	0	0	0	0	7	0	0	0	9	0	16	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	14	0	8	0	0	0	16	16	16
4	6	6	1	0	0	3	0	0	0	0	0	15	1	0	0	8	0	15	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	14	0	9	0	0	0	15	15	15
3	1	4	5	0	0	2	0	0	0	0	0	11	1	0	0	5	0	16	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	14	0	7	0	0	0	16	16	16
2	3	1	1	0	0	1	0	0	0	0	0	5	0	0	0	3	0	15	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	13	0	2	0	0	0	15	15	15
4	3	1	1	0	0	2	0	0	0	0	0	6	0	0	0	0	0	15	0	0	0	11	0	0	0	0	0	13	0	0	0	0	0	11	0	0	0	0	0	15	15	15
3	1	1	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	16	0	0	0	16	0	0	0	0	0	11	0	0	0	0	0	14	0	4	0	0	0	16	16	16
0	0	0	0	0	0	1	0	0	0	0	0	12	4	0	0	0	0	15	0	0	0	15	0	0	0	0	0	10	0	0	0	0	0	12	0	3	0	0	0	15	15	15
2	0	0	0	0	0	2	0	0	0	0	0	7	3	0	0	0	0	15	0	0	0	15	0	0	0	0	0	6	0	0	0	0	0	10	0	3	0	0	0	15	15	15
1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	16	0	0	0	16	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	16	16	16
0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	15	0	0	0	15	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	15	15	15
0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	16	0	0	0	16	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	16	16	16
1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	15	0	0	0	15	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	15	15	15
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	15	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	15	15	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	16	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	16	16	16
1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	15	15
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	16	0	0	0	16	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	16	16	16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
